Fund Holdings as of,11-Feb-22,,,,,,,,
 ,,,,,,,,,
Ticker,Name,Exchange,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL
600519,KWEICHOW MOUTAI LTD A,XSHG,5.61,"1,849.97","11,800","21,829,646","21,829,646",Consumer Staples,6414832
300750,CONTEMPORARY AMPEREX TECHNOLOGY LT,XSHE,3.31,489.99,"26,300","12,886,737","12,886,737",Industrials,BF7L9J2
600036,CHINA MERCHANTS BANK LTD A,XSHG,3.16,52.76,"232,900","12,287,804","12,287,804",Financials,6518723
601318,PING AN INSURANCE (GROUP) OF CHINA,XSHG,2.92,55.59,"204,400","11,362,596","11,362,596",Financials,B1SVWB6
858,WULIANGYE YIBIN LTD A,XSHE,1.82,194.27,"36,478","7,086,581","7,086,581",Consumer Staples,6109901
333,MIDEA GROUP LTD A,XSHE,1.75,74.14,"91,800","6,806,052","6,806,052",Consumer Discretionary,BDVHRJ8
601166,INDUSTRIAL BANK LTD A,XSHG,1.63,22.99,"275,800","6,340,642","6,340,642",Financials,B1P13B6
601012,LONGI GREEN ENERGY TECHNOLOGY LTD,XSHG,1.36,65.15,"81,320","5,297,998","5,297,998",Information Technology,B759P50
600900,CHINA YANGTZE POWER LTD A,XSHG,1.32,23.74,"216,282","5,134,535","5,134,535",Utilities,6711630
300059,EAST MONEY INFORMATION LTD A,XSHE,1.28,31.73,"156,666","4,971,012","4,971,012",Financials,B62Q4K5
600030,CITIC SECURITIES LTD A,XSHG,1.22,25.69,"184,215","4,732,483","4,732,483",Financials,6579355
601888,CHINA TOURISM GROUP DUTY FREE CORP,XSHG,1.08,225.43,"18,600","4,192,998","4,192,998",Consumer Discretionary,B42G7J1
2415,HANGZHOU HIKVISION DIGITAL TECHNOL,XSHE,1.05,46,"88,600","4,075,600","4,075,600",Information Technology,B450X03
2594,BYD LTD A,XSHE,0.99,230.19,"16,800","3,867,192","3,867,192",Consumer Discretionary,B466322
600887,INNER MONGOLIA YILI INDUSTRIAL GRO,XSHG,0.99,39.83,"96,700","3,851,561","3,851,561",Consumer Staples,6458841
2475,LUXSHARE PRECISION INDUSTRY LTD A,XSHE,0.99,41.05,"93,668","3,845,071","3,845,071",Information Technology,B64QPN3
651,GREE ELECTRIC APPLIANCES INC OF ZH,XSHE,0.91,39.9,"88,700","3,539,130","3,539,130",Consumer Discretionary,6990257
600276,JIANGSU HENGRUI MEDICINE LTD A,XSHG,0.88,41.26,"83,381","3,440,300","3,440,300",Health Care,6288457
601398,INDUSTRIAL AND COMMERCIAL BANK OF,XSHG,0.82,4.87,"659,400","3,211,278","3,211,278",Financials,B1G2JY3
603259,WUXI APPTEC LTD A,XSHG,0.82,83.07,"38,519","3,199,773","3,199,773",Health Care,BFXNP16
1,PING AN BANK LTD A,XSHE,0.8,17.1,"182,430","3,119,553","3,119,553",Financials,6802006
2142,BANK OF NINGBO LTD A,XSHE,0.78,40.92,"74,318","3,041,093","3,041,093",Financials,B232Y04
2714,MUYUAN FOODS LTD A,XSHE,0.78,60.7,"49,774","3,021,282","3,021,282",Consumer Staples,BJ0JR20
568,LUZHOU LAO JIAO LTD A,XSHE,0.77,216.18,"13,900","3,004,902","3,004,902",Consumer Staples,6517485
601899,ZIJIN MINING GROUP LTD A,XSHG,0.77,11.06,"270,979","2,997,028","2,997,028",Materials,B2QZ4S8
600309,WANHUA CHEMICAL GROUP LTD A,XSHG,0.74,98.14,"29,280","2,873,539","2,873,539",Materials,6314932
725,BOE TECHNOLOGY GROUP LTD A,XSHE,0.72,5,"563,700","2,818,500","2,818,500",Information Technology,6314697
300760,SHENZHEN MINDRAY BIO-MEDICAL ELECT,XSHE,0.71,296.5,"9,300","2,757,450","2,757,450",Health Care,BGHD9P1
2,CHINA VANKE LTD A,XSHE,0.7,21.18,"128,318","2,717,775","2,717,775",Real Estate,6803708
600809,SHANXI XINGHUACUN FEN WINE FACTORY,XSHG,0.68,282.6,"9,420","2,662,092","2,662,092",Consumer Staples,6808361
601328,BANK OF COMMUNICATIONS LTD A,XSHG,0.66,5.01,"516,400","2,587,164","2,587,164",Financials,B1W9Z06
600031,SANY HEAVY INDUSTRY LTD A,XSHG,0.6,20.82,"112,200","2,336,004","2,336,004",Industrials,6648824
2352,S.F. HOLDING LTD A,XSHE,0.59,62.59,"36,800","2,303,312","2,303,312",Industrials,B3P1NF4
603288,FOSHAN HAI TIAN FLAVOURING & FOOD,XSHG,0.59,94.79,"24,100","2,284,439","2,284,439",Consumer Staples,BJ3KJC4
2812,YUNNAN ENERGY NEW MATERIALS LTD A,XSHE,0.58,224.98,"10,100","2,272,298","2,272,298",Materials,BZ6S217
603501,WILL SEMICONDUCTOR SHANGHAI LTD A,XSHG,0.57,227.55,"9,800","2,229,990","2,229,990",Information Technology,BZ07VX5
601668,CHINA STATE CONSTRUCTION ENGINEERI,XSHG,0.57,5.6,"394,520","2,209,312","2,209,312",Industrials,B3Y6LV2
600837,HAITONG SECURITIES LTD CLASS A,XSHG,0.56,11.9,"181,600","2,161,040","2,161,040",Financials,6766555
600048,POLY DEVELOPMENTS AND HOLDINGS GRO,XSHG,0.55,15.75,"135,100","2,127,825","2,127,825",Real Estate,B19RB38
300124,SHENZHEN INOVANCE TECHNOLOGY LTD A,XSHE,0.55,61.11,"34,800","2,126,628","2,126,628",Industrials,B3QDJB7
600585,ANHUI CONCH CEMENT LTD A,XSHG,0.53,44.08,"46,400","2,045,312","2,045,312",Materials,6441595
601288,AGRICULTURAL BANK OF CHINA LTD A,XSHG,0.52,3.08,"660,400","2,034,032","2,034,032",Financials,B620Y41
601919,COSCO SHIPPING HOLDINGS LTD A,XSHG,0.52,17.07,"119,090","2,032,866","2,032,866",Industrials,B1YQ5Q1
2460,GANFENG LITHIUM LTD A,XSHE,0.51,133.01,"15,003","1,995,549","1,995,549",Materials,B41CNM5
688981,SEMICONDUCTOR MANUFACTURING INTERN,XSHG,0.5,51.46,"37,636","1,936,749","1,936,749",Information Technology,BLN7Y13
300274,SUNGROW POWER SUPPLY LTD A,XSHE,0.5,96.7,"20,000","1,934,000","1,934,000",Industrials,B40J509
600438,TONGWEI LTD A,XSHG,0.5,37.9,"51,000","1,932,900","1,932,900",Consumer Staples,6743815
601816,BEIJING-SHANGHAI HIGH SPEED RAILWA,XSHG,0.5,5.35,"360,200","1,927,070","1,927,070",Industrials,BKSWRZ1
600000,SHANGHAI PUDONG DEVELOPMENT BANK L,XSHG,0.5,8.74,"220,482","1,927,013","1,927,013",Financials,6182043
600436,ZHANGZHOU PIENTZEHUANG PHARMACEUTI,XSHG,0.49,340.03,"5,600","1,904,168","1,904,168",Health Care,6632162
2304,JIANGSU YANGHE BREWERY JOINT-STOCK,XSHE,0.49,169.57,"11,200","1,899,184","1,899,184",Consumer Staples,B55JM22
600690,HAIER SMART HOME LTD A,XSHG,0.49,26.55,"71,500","1,898,325","1,898,325",Consumer Discretionary,6716884
603799,ZHEJIANG HUAYOU COBALT LTD A,XSHG,0.48,100.67,"18,613","1,873,771","1,873,771",Materials,BV8SL21
600016,CHINA MINSHENG BANKING CORP LTD A,XSHG,0.48,4.01,"467,020","1,872,750","1,872,750",Financials,6310747
2241,GOERTEK INC A,XSHE,0.48,41.13,"45,200","1,859,076","1,859,076",Information Technology,B2R9WZ2
601601,CHINA PACIFIC INSURANCE (GROUP) LT,XSHG,0.47,28.83,"64,100","1,848,003","1,848,003",Financials,B29WFR2
300122,CHONGQING ZHIFEI BIOLOGICAL PRODUC,XSHE,0.47,120.7,"15,100","1,822,570","1,822,570",Health Care,B3PNJB8
300498,WENS FOODSTUFF GROUP LTD,XSHE,0.46,21.6,"83,598","1,805,717","1,805,717",Consumer Staples,BYV2RX4
2129,TIANJIN ZHONGHUAN SEMICONDUCTOR LT,XSHE,0.46,42.31,"42,400","1,793,944","1,793,944",Information Technology,B1VKWZ4
300014,EVE ENERGY LTD A,XSHE,0.46,84.38,"21,200","1,788,856","1,788,856",Industrials,B4TSW28
63,ZTE CORP A,XSHE,0.46,30.06,"59,400","1,785,564","1,785,564",Information Technology,6073062
600111,CHINA NORTHERN RARE EARTH (GROUP),XSHG,0.45,42.77,"41,100","1,757,847","1,757,847",Materials,6042017
601688,HUATAI SECURITIES LTD A,XSHG,0.45,17.9,"97,100","1,738,090","1,738,090",Financials,B61VK25
2271,BEIJING ORIENTAL YUHONG WATERPROOF,XSHE,0.44,52.19,"33,150","1,730,099","1,730,099",Materials,B3CTJX1
601088,CHINA SHENHUA ENERGY LTD A,XSHG,0.43,26.11,"63,900","1,668,429","1,668,429",Energy,B281JM3
600406,NARI TECHNOLOGY LTD A,XSHG,0.43,32.42,"51,360","1,665,091","1,665,091",Industrials,6695228
300015,AIER EYE HOSPITAL GROUP LTD A,XSHE,0.42,32.4,"51,006","1,652,594","1,652,594",Health Care,B4W4ZY6
600104,SAIC MOTOR CORP LTD A,XSHG,0.42,19.08,"86,300","1,646,604","1,646,604",Consumer Discretionary,6086974
2230,IFLYTEK A,XSHE,0.42,47.2,"34,850","1,644,920","1,644,920",Information Technology,B2R0YF9
2466,TIANQI LITHIUM INDUSTRIES CORP A,XSHE,0.42,83.35,"19,600","1,633,660","1,633,660",Materials,B52KSP3
2049,UNIGROUP GUOXIN MICROELECTRONICS L,XSHE,0.42,195.68,"8,300","1,624,144","1,624,144",Information Technology,B07ZFV3
600745,WINGTECH TECHNOLOGY LTD A,XSHG,0.4,108.29,"14,500","1,570,205","1,570,205",Information Technology,6450847
100,TCL TECHNOLOGY GROUP CORP A,XSHE,0.4,5.84,"268,600","1,568,624","1,568,624",Consumer Discretionary,6731133
600919,BANK OF JIANGSU CORPORATION LTD A,XSHG,0.4,7.05,"222,340","1,567,497","1,567,497",Financials,BDC68B3
601211,GUOTAI JUNAN SECURITIES LTD A,XSHG,0.4,18.35,"84,600","1,552,410","1,552,410",Financials,BZ0HMX2
2027,FOCUS MEDIA INFORMATION TECHNOLOGY,XSHE,0.4,8.09,"190,276","1,539,333","1,539,333",Communication,B02FVZ4
300142,WALVAX BIOTECHNOLOGY LTD A,XSHE,0.38,49.86,"29,700","1,480,842","1,480,842",Health Care,B5B40S3
601766,CRRC CORP LTD A,XSHG,0.37,6.04,"235,500","1,422,420","1,422,420",Industrials,B3CPT84
603986,GIGA DEVICE SEMICONDUCTOR (BEIJING,XSHG,0.36,141.3,"9,904","1,399,435","1,399,435",Information Technology,BYM9X70
338,WEICHAI POWER LTD A,XSHE,0.35,15.74,"87,135","1,371,505","1,371,505",Industrials,B1WPGD4
600050,CHINA UNITED NETWORK COMMUNICATION,XSHG,0.35,4,"342,300","1,369,200","1,369,200",Communication,6547998
601229,BANK OF SHANGHAI LTD A,XSHG,0.35,7.31,"187,074","1,367,511","1,367,511",Financials,BD5BP36
601669,POWER CONSTRUCTION CORPORATION OF,XSHG,0.34,9.06,"144,100","1,305,546","1,305,546",Industrials,B4TH690
